ean,reference,name,sku,price,wholesale_price,quantity,brand,manufacturer,category,tax,description_short,description,image_hints
1234567890123,REF-001,Laptop Pro 15,LP15-001,999.99,899.99,50,Dell,Dell Inc.,Electronics,1,High-performance laptop,"Powerful 15-inch laptop with Intel i7 processor, backlit keyboard and 4K display.",EAN-123
5678901234567,REF-002,Smartphone X,SPX-001,699.99,599.99,100,Samsung,Samsung Electronics,Electronics,1,Flagship smartphone with latest features,"Brand new smartphone with 6.5-inch display and triple camera system.",EAN-456
9012345678901,REF-003,Wireless Headphones,WH-X001,149.99,129.99,75,Sony,Sony Corp.,Electronics,1,Noise-canceling wireless headphones,"Premium wireless headphones with 30-hour battery life and ANC.",EAN-789
2345678901234,REF-004,4K Smart TV,TV-4K001,1299.99,1199.99,30,Samsung,Samsung Electronics,Electronics,1,Ultra HD 4K smart TV,"55-inch 4K LED TV with smart features and voice control.",EAN-234
6789012345678,REF-005,Ergonomic Office Chair,OC-ERG001,299.99,249.99,40,OfficePro,OfficePro Inc.,Furniture,1,Comfortable ergonomic office chair with lumbar support,"Adjustable height and breathable mesh fabric.",EAN-567
0123456789012,REF-006,Mechanical Keyboard,KB-MCH001,129.99,99.99,120,Corsair,Corsair Gaming,Accessories,1,RGB mechanical keyboard with Cherry MX switches,"Compact tenkeyless keyboard with hot-swappable switches and per-key RGB lighting.",EAN-012
3456789012345,REF-007,27 Inch Monitor,MN-27QHD,249.99,219.99,60,BenQ,BenQ Corp.,Electronics,1,QHD IPS monitor for professionals,"27-inch QHD display with 99% sRGB coverage and height-adjustable stand.",EAN-345
7890123456789,REF-008,Gaming Mouse,MS-GAM001,59.99,45.99,150,Logitech,Logitech Inc.,Accessories,1,Lightweight gaming mouse with 25K sensor,"Ergonomic wireless gaming mouse with 25K DPI sensor and 70-hour battery.",EAN-789
1234567890124,REF-009,USB-C Docking Station,DK-USBC01,89.99,74.99,85,Anker,Anker Innovations,Accessories,1,Universal USB-C dock with dual HDMI,"10-in-1 USB-C docking station with dual 4K HDMI output and 100W power delivery.",EAN-124
4567890123456,REF-010,Webcam 4K,WC-4K001,79.99,64.99,95,Logitech,Logitech Inc.,Accessories,1,4K webcam for video conferencing,"Ultra-clear 4K webcam with autofocus and noise-reducing dual microphones.",EAN-456
